Feature,Importance
ApprovalProbAuto,0.06816320201135424
Obtain2000Prob,0.06776208716111472
ApprovalProbCC,0.06281845620306047
AutoBalance,0.04509697394225001
NoNeed,0.04288583344625672
DontKnowHow,0.038564922499741354
ExpectedDenial,0.03747839000647732
LowLikelihoodExpectedDenial,0.036413281073295105
LowLikelihoodNoNeed,0.03509515340792831
MaxedOutCC,0.031538628861406806
TooTimeConsuming,0.03085982715652348
MortgageBalance,0.030858296236147734
RatesTooHigh,0.02965836727490624
ProbAuto,0.028684135077353696
Need2000Prob,0.027842784833506634
ProbRefi,0.027703531502654127
CCBalance,0.026945384061131634
RequestedRefi,0.025301226255117746
IntentionRefi,0.020988404582264895
RequestedCCLimit,0.020578490580624574
ProbCC,0.019072647785488984
IntentionAuto,0.01906306499709847
ProbCCLimit,0.018765704014563876
LowLikelihoodDontKnowHow,0.017025057568976334
LastScoreCheck,0.015675981100030704
IntentionCC,0.014358518585143708
IntentionQuestionFormat,0.01428704055734737
IntentionCCLimit,0.013896563580439784
NeededMortgage,0.013646756186345445
LowLikelihoodTimeConsuming,0.013051093288684507
LowLikelihoodRatesTooHigh,0.01258832978162642
Late30Days,0.012392595525787191
ProbMortgage,0.011586658550477006
IntentionMortgage,0.009740656976918883
NeededStudent,0.009586413765643407
ProbStudent,0.00945846641694826
IntentionStudent,0.00902068381531986
NoChanges,0.006298385380320783
ClosedVoluntary,0.0053145244019379865
LimitReduced,0.005271387072823204
AppliedCC,0.004545934492795482
AppliedMortgage,0.003466359117372034
ClosedByLender,0.003426190577975544
AppliedStudent,0.0032236102868190403
AppliedAuto,0.0
