Feature,Importance
ApprovalProbCC,0.39187579919658466
ExpectedDenial,0.0411468716210397
LowLikelihoodExpectedDenial,0.040973134929376216
ProbCC,0.03412562109343488
MaxedOutCC,0.033588373900762594
DontKnowHow,0.031945093323891435
RatesTooHigh,0.028494259737180103
NoNeed,0.027526966237401848
CCBalance,0.026529386567298887
MortgageBalance,0.024501897941701035
RequestedCCLimit,0.023628858591238533
ApprovalProbAuto,0.01963202845789818
Obtain2000Prob,0.019004087657748362
IntentionCC,0.016572013724202455
TooTimeConsuming,0.016451709174930468
ProbRefi,0.016351360836379544
AutoBalance,0.016129622768952752
RequestedRefi,0.016036372392844434
IntentionQuestionFormat,0.015391865751488047
IntentionRefi,0.014140154382877685
IntentionCCLimit,0.01279785400676452
Need2000Prob,0.011927465905137716
LastScoreCheck,0.01111416192002036
NeededStudent,0.011066555640530619
ProbCCLimit,0.010068691354371374
ProbStudent,0.009751419234822674
NeededMortgage,0.008519800627070605
Late30Days,0.008370023161487683
ProbAuto,0.008165847416502881
LowLikelihoodDontKnowHow,0.007252234132186363
LowLikelihoodNoNeed,0.006931306772442552
LowLikelihoodRatesTooHigh,0.006703656509604876
IntentionStudent,0.006574580815448727
ProbMortgage,0.005646369245258406
LowLikelihoodTimeConsuming,0.003844084492299105
ClosedByLender,0.0033108606433309095
IntentionAuto,0.0031547702405897104
IntentionMortgage,0.0027188563376190555
NoChanges,0.002689717001574444
LimitReduced,0.001526842069702633
ClosedVoluntary,0.001282273339565149
AppliedMortgage,0.0011298543823805491
AppliedAuto,0.0008819488630548229
AppliedStudent,0.0005253476010024222
AppliedCC,0.0
