Feature,Importance
ApprovalProbCC,0.10015422839391552
ApprovalProbAuto,0.08133760045091812
NoNeed,0.050011392678303825
ExpectedDenial,0.049839563192562684
MaxedOutCC,0.04593316995098059
Obtain2000Prob,0.0449157484330776
RatesTooHigh,0.038033148848424216
DontKnowHow,0.035641292414279054
TooTimeConsuming,0.03214028524557074
MortgageBalance,0.031241306021819865
CCBalance,0.030808660477889986
LowLikelihoodExpectedDenial,0.028329646756867204
AutoBalance,0.027307881303460155
LowLikelihoodNoNeed,0.026982667762462595
ProbCCLimit,0.026860839078668645
ProbRefi,0.025863436360622
RequestedCCLimit,0.02541756520621148
Need2000Prob,0.02439608775528678
RequestedRefi,0.024221236854677197
IntentionCCLimit,0.023421959635786964
IntentionRefi,0.020985168776304193
ProbCC,0.018570338534770716
IntentionQuestionFormat,0.01695132711895101
ProbAuto,0.01498767894565559
IntentionCC,0.013146640756702454
ProbMortgage,0.01305573598180993
ProbStudent,0.012580063122668995
NeededMortgage,0.011634128178081016
LastScoreCheck,0.011096617308285785
LowLikelihoodRatesTooHigh,0.010457328452492455
Late30Days,0.010323946821403704
LowLikelihoodDontKnowHow,0.009899234924219295
IntentionAuto,0.009147158989292461
IntentionMortgage,0.008327180544977157
LowLikelihoodTimeConsuming,0.008217457985093981
IntentionStudent,0.007137254834098363
NeededStudent,0.0054683991324298575
NoChanges,0.005052264753253942
ClosedVoluntary,0.004264796670359586
ClosedByLender,0.004260972294931739
AppliedAuto,0.004173988719005231
LimitReduced,0.0030227762306808785
AppliedMortgage,0.002827412083822775
AppliedStudent,0.0015544120189237484
AppliedCC,0.0
