Feature,Importance
ExpectedDenial,0.20111261250439758
ApprovalProbCC,0.11251662065410441
NoNeed,0.048218651478495224
DontKnowHow,0.03986710466446931
RatesTooHigh,0.0383578432871714
ApprovalProbAuto,0.03729243790291373
MortgageBalance,0.03575799934785369
TooTimeConsuming,0.03428840861770336
CCBalance,0.03413503618242181
AutoBalance,0.032905093711364554
Need2000Prob,0.02680172152621012
IntentionQuestionFormat,0.026724204362976876
ProbRefi,0.02436518799416549
Obtain2000Prob,0.022431575710104287
ProbCC,0.022049824357854575
IntentionRefi,0.01900440758186833
RequestedRefi,0.01849961793988481
ProbCCLimit,0.01809470886903083
LowLikelihoodDontKnowHow,0.01726444621577812
ProbAuto,0.016713031097252997
IntentionCC,0.016543281898198405
ProbMortgage,0.013891777270552944
LastScoreCheck,0.013150460893502485
LowLikelihoodTimeConsuming,0.012145290411703957
MaxedOutCC,0.011617219953677552
NeededMortgage,0.011509608360608504
IntentionCCLimit,0.010127852346122842
NeededStudent,0.00970161616526068
ClosedByLender,0.00963645253875159
ProbStudent,0.008956189976217997
IntentionAuto,0.00751314009203496
IntentionStudent,0.007380489537606297
AppliedMortgage,0.007116565119215568
IntentionMortgage,0.005933201200669615
LowLikelihoodNoNeed,0.005686478977666566
LowLikelihoodRatesTooHigh,0.005084317914140338
LowLikelihoodExpectedDenial,0.004373907141082637
NoChanges,0.003857689460257602
LimitReduced,0.0023011262230743135
AppliedAuto,0.0021723502792176793
Late30Days,0.0019737966394278938
ClosedVoluntary,0.0013025649262277767
AppliedCC,0.0009195843637689509
AppliedStudent,0.0007045043049911826
RequestedCCLimit,0.0
