Feature,Importance
ExpectedDenial,0.0817833196596513
ApprovalProbCC,0.06563870911706911
ApprovalProbAuto,0.05803768848489537
NoNeed,0.0485117238469642
CCBalance,0.03865937936507757
Obtain2000Prob,0.038470589317531736
DontKnowHow,0.03804326606627396
AutoBalance,0.03695363752720968
RatesTooHigh,0.03668769130590464
MortgageBalance,0.035916590528836875
TooTimeConsuming,0.03500218438808447
Need2000Prob,0.030450357153943165
ProbCCLimit,0.0301410934684293
ProbCC,0.02853127280998567
ProbRefi,0.026517439274456732
IntentionRefi,0.02502281711143842
RequestedRefi,0.024635670767737733
IntentionQuestionFormat,0.02436663166012952
LowLikelihoodExpectedDenial,0.023466360259728782
ProbAuto,0.020801726712842514
LowLikelihoodNoNeed,0.020472430438642802
IntentionCCLimit,0.01881528336372839
IntentionCC,0.017411206057425074
ProbMortgage,0.01696055376233036
LastScoreCheck,0.01548470133615001
MaxedOutCC,0.015208099157419967
IntentionAuto,0.013492698024842622
ProbStudent,0.013207866812497669
NeededMortgage,0.011897096881551463
IntentionMortgage,0.011684085817597292
LowLikelihoodTimeConsuming,0.01117960424098246
ClosedByLender,0.011107767937158553
LowLikelihoodDontKnowHow,0.011042304184125116
LowLikelihoodRatesTooHigh,0.009368146796070509
IntentionStudent,0.007556436600840033
NoChanges,0.007327338580691087
LimitReduced,0.00694635448193984
NeededStudent,0.0061952737910992255
Late30Days,0.005757209731642771
AppliedAuto,0.00570176591366174
AppliedCC,0.0051068703693553505
ClosedVoluntary,0.004286442821259953
AppliedMortgage,0.004155719648904745
AppliedStudent,0.001996594423892248
RequestedCCLimit,0.0
