Feature,Importance
ApprovalProbCC,0.276579166115951
LowLikelihoodExpectedDenial,0.1144536149348191
MaxedOutCC,0.07792642292218918
Obtain2000Prob,0.06728950298064725
CCBalance,0.05480350445054592
Late30Days,0.03751869600415338
ApprovalProbAuto,0.03152381478446166
LastScoreCheck,0.029687471293441355
MortgageBalance,0.026486159734141607
ProbRefi,0.020153367051927225
AutoBalance,0.019444208269182136
ExpectedDenial,0.0165700593333738
RatesTooHigh,0.015078944399267293
NeededMortgage,0.015046879245040013
RequestedRefi,0.014154364948971355
NeededStudent,0.012739760527606801
DontKnowHow,0.01176388484366152
Need2000Prob,0.011123031666524502
TooTimeConsuming,0.01100144314915939
NoNeed,0.010724033806106205
IntentionRefi,0.009593890174753079
IntentionCCLimit,0.009390194868663153
ProbCCLimit,0.009189182098006012
RequestedCCLimit,0.009187490812788893
LowLikelihoodDontKnowHow,0.008199625764444584
IntentionQuestionFormat,0.008048372089901643
ProbMortgage,0.0073930685072691
LowLikelihoodNoNeed,0.007069324836833796
LowLikelihoodTimeConsuming,0.005958945830077379
ProbCC,0.005577345314438021
ClosedByLender,0.0050965194080141735
LowLikelihoodRatesTooHigh,0.004843929525067446
ProbAuto,0.004796533226180156
ProbStudent,0.004454661980835134
IntentionCC,0.0042741729349037505
AppliedCC,0.0039816112023669335
IntentionAuto,0.003902563517251883
IntentionStudent,0.003381587814910487
AppliedMortgage,0.0027494755440747656
IntentionMortgage,0.0026405980669029724
NoChanges,0.0025182453776462694
ClosedVoluntary,0.0012778080428690246
LimitReduced,0.0011217149284041344
AppliedAuto,0.0010946079688828512
AppliedStudent,0.00019019970334336272
