Feature,Importance
ApprovalProbCC,0.11962485273180894
ApprovalProbAuto,0.08945257920686274
Obtain2000Prob,0.07292514660734635
MaxedOutCC,0.06752807695250089
LowLikelihoodExpectedDenial,0.05598111152318444
Late30Days,0.05375497973088341
ExpectedDenial,0.05195421441311863
LowLikelihoodNoNeed,0.044420657073954234
CCBalance,0.03293245050116167
NoNeed,0.03146576027414017
MortgageBalance,0.021304349316501384
NeededStudent,0.020651249431772295
RatesTooHigh,0.020542548518843226
AutoBalance,0.020471736885049326
ProbRefi,0.02039449868941519
RequestedRefi,0.01822454861883941
NeededMortgage,0.017532108066794807
LastScoreCheck,0.017343944738112398
RequestedCCLimit,0.017274241113515037
IntentionRefi,0.01553630261094226
Need2000Prob,0.015395211546182565
DontKnowHow,0.014488497612232169
ProbCCLimit,0.013801294943376565
TooTimeConsuming,0.012552881015582074
IntentionCCLimit,0.01244468932490652
LowLikelihoodDontKnowHow,0.011763340428865048
LowLikelihoodRatesTooHigh,0.011114749288780961
ClosedByLender,0.010377878400486264
IntentionQuestionFormat,0.01007882778585678
ProbAuto,0.008740627886272164
ProbCC,0.008612944128531726
LowLikelihoodTimeConsuming,0.008589113904018
ProbMortgage,0.008168908128198352
ProbStudent,0.006332258208333674
IntentionCC,0.00609032679498719
IntentionAuto,0.006060120080309967
IntentionStudent,0.005304818025352075
IntentionMortgage,0.005235964033237902
NoChanges,0.0027914253974276725
AppliedCC,0.0027765972282095615
LimitReduced,0.002722716637778608
ClosedVoluntary,0.002320482994473022
AppliedMortgage,0.0019493671804568823
AppliedAuto,0.0017600721263825337
AppliedStudent,0.0012115298950148546
