Feature,Importance
LowLikelihoodExpectedDenial,0.12144513192361911
ApprovalProbCC,0.07292593137219348
ProbMortgage,0.06429054861500802
LowLikelihoodNoNeed,0.06185476623049623
RequestedRefi,0.05107672276570492
NeededMortgage,0.04687109538878894
ProbRefi,0.044155665756333395
ApprovalProbAuto,0.04031731100123459
DontKnowHow,0.03986941985077906
NoNeed,0.03311490391353323
CCBalance,0.03246249406952247
AutoBalance,0.03138853326806302
ExpectedDenial,0.030992394108661392
MortgageBalance,0.027221860924699165
Obtain2000Prob,0.025792736093600492
RatesTooHigh,0.023370937489429283
TooTimeConsuming,0.021812916074838425
LowLikelihoodDontKnowHow,0.018791885268569713
IntentionRefi,0.017508789303135527
ProbAuto,0.01692528728535297
Need2000Prob,0.016742187961388235
MaxedOutCC,0.01660090068921647
IntentionMortgage,0.015666840246629635
ProbStudent,0.012942044732493448
ProbCCLimit,0.012161232533921488
NeededStudent,0.010039409903118086
RequestedCCLimit,0.009368090077228379
IntentionQuestionFormat,0.008910690876380066
ProbCC,0.008610888850144514
Late30Days,0.008182917293499842
LastScoreCheck,0.007362267260724542
AppliedCC,0.007268059979122395
IntentionAuto,0.007088759267035486
IntentionCCLimit,0.00662451446819668
LimitReduced,0.005265718948560326
IntentionStudent,0.0043899138857236945
AppliedAuto,0.004094205311949208
IntentionCC,0.003272080999656137
LowLikelihoodRatesTooHigh,0.0031695097808311164
ClosedByLender,0.0028894963467687544
LowLikelihoodTimeConsuming,0.002854005018409408
ClosedVoluntary,0.0019514395308543192
NoChanges,0.0012307289380474912
AppliedStudent,0.001124766396536898
AppliedMortgage,0.0
