Feature,Importance
ApprovalProbCC,0.06217615069204733
NeededMortgage,0.055617395137969136
ApprovalProbAuto,0.05224073112388719
ExpectedDenial,0.045146810198050814
NoNeed,0.044839236364170844
Obtain2000Prob,0.04075504888742362
ProbRefi,0.03884523830704997
TooTimeConsuming,0.03838242101193736
MortgageBalance,0.036575506304145466
RequestedRefi,0.03654558650910129
RatesTooHigh,0.0350031263249705
ProbMortgage,0.033781819836959735
DontKnowHow,0.032784301057868
AutoBalance,0.02997364073047683
CCBalance,0.029763432637396427
IntentionRefi,0.028778308477147362
Need2000Prob,0.02835015951983454
MaxedOutCC,0.0281443676678342
IntentionMortgage,0.027127707107601567
LowLikelihoodExpectedDenial,0.026690765141852802
LowLikelihoodNoNeed,0.02442597123385505
ProbCCLimit,0.021332362052452817
ProbAuto,0.018901872868867867
IntentionCCLimit,0.015773419524262346
LowLikelihoodDontKnowHow,0.015224450179172108
IntentionQuestionFormat,0.015208320698077928
ProbCC,0.014617979877668578
RequestedCCLimit,0.01364219007555472
IntentionAuto,0.013472356714497475
LastScoreCheck,0.011143398912317215
IntentionCC,0.010614600725336765
LowLikelihoodTimeConsuming,0.01037693752843095
LowLikelihoodRatesTooHigh,0.00955145811173608
ProbStudent,0.00900220294788224
IntentionStudent,0.007334219703586603
NeededStudent,0.006461369367665408
NoChanges,0.0060088703409818004
ClosedVoluntary,0.005409012584543209
LimitReduced,0.00477147266765366
AppliedAuto,0.004171118744833526
AppliedCC,0.0038864621721973244
Late30Days,0.0035832908756943766
AppliedStudent,0.0020527781881541957
ClosedByLender,0.001512130866852869
AppliedMortgage,0.0
