Feature,Importance
Late30Days,0.26181739636041823
RequestedCCLimit,0.15701813879361834
CCBalance,0.1383622202143853
ProbCCLimit,0.10968435001583599
IntentionCCLimit,0.08633363803628664
MaxedOutCC,0.07326968444451942
CreditScore,0.02783043078273858
RatesTooHigh,0.02496824586693475
NoNeed,0.017777065408228435
LastScoreCheck,0.014221672774495653
ExpectedDenial,0.012663378534058497
TooTimeConsuming,0.010489404324792567
AppliedAuto,0.008728130956861153
DontKnowHow,0.006538749262619469
LowLikelihoodExpectedDenial,0.006025753208115945
Obtain2000Prob,0.004909883260461831
LowLikelihoodNoNeed,0.004303847008368092
LowLikelihoodDontKnowHow,0.003929897417295759
ProbAuto,0.0037563720729856366
LowLikelihoodTimeConsuming,0.0033224281111500636
