Feature,Importance
Late30Days,0.19339041552527336
CCBalance,0.09507186587879132
RequestedCCLimit,0.09436152789189872
MaxedOutCC,0.05368865038446228
ProbCCLimit,0.05283808568525617
IntentionCCLimit,0.04633757678568223
RatesTooHigh,0.03672021316134988
LastScoreCheck,0.02882898669968624
CreditScore,0.026865035868897057
AppliedAuto,0.026841280536707725
ExpectedDenial,0.02681859154678856
TooTimeConsuming,0.02643105089295015
NoNeed,0.025057613006288046
Obtain2000Prob,0.019867032035205602
Need2000Prob,0.01985887967114984
DontKnowHow,0.01945258796520318
LowLikelihoodDontKnowHow,0.017987447937716613
LowLikelihoodExpectedDenial,0.017215256750336427
SurveyDate,0.016954003555292016
LowLikelihoodNoNeed,0.01688174855077886
