Run,Target,Model,Accuracy,F1 (Weighted),F1 (Macro),N_Features,N_Test,N_Classes
Original Features,Credit Card,Logistic Regression,0.7301341589267286,0.7717055439938122,0.5405206634974303,45,1938.0,3.0
Original Features,Credit Card,Random Forest,0.8121775025799793,0.8092904035900111,0.5352943262857919,45,1938.0,3.0
Original Features,Credit Card,Gradient Boosting,0.8446852425180599,0.8187622320776963,0.5030339766192239,45,1938.0,3.0
Original Features,Credit Card,k-Nearest Neighbors,0.8204334365325078,0.7932616543536154,0.46847544002568525,45,1938.0,3.0
Original Features,Mortgage,Logistic Regression,0.675531914893617,0.7375076718494271,0.4490613553113553,45,564.0,3.0
Original Features,Mortgage,Random Forest,0.8670212765957447,0.8418964394268346,0.49353741496598635,45,564.0,3.0
Original Features,Mortgage,Gradient Boosting,0.8634751773049646,0.8404500511839743,0.4871591163725995,45,564.0,3.0
Original Features,Mortgage,k-Nearest Neighbors,0.8457446808510638,0.8146895302545266,0.4427825401517391,45,564.0,3.0
Original Features,Auto Loan,Logistic Regression,0.7980487804878049,0.8513575890502041,0.4560869021147978,45,1025.0,3.0
Original Features,Auto Loan,Random Forest,0.9336585365853659,0.9186905611957287,0.45678332966468566,45,1025.0,3.0
Original Features,Auto Loan,Gradient Boosting,0.9287804878048781,0.9140421160760145,0.43263139873309364,45,1025.0,3.0
Original Features,Auto Loan,k-Nearest Neighbors,0.9287804878048781,0.90996496989785,0.411317711573466,45,1025.0,3.0
Original Features,Credit Limit,Logistic Regression,0.562406015037594,0.5834776269650952,0.4574466084476491,45,665.0,3.0
Original Features,Credit Limit,Random Forest,0.6586466165413534,0.6291177515336496,0.44607882730734966,45,665.0,3.0
Original Features,Credit Limit,Gradient Boosting,0.6631578947368421,0.6259409358082609,0.438864712137185,45,665.0,3.0
Original Features,Credit Limit,k-Nearest Neighbors,0.6240601503759399,0.5823238032529302,0.39551369767651984,45,665.0,3.0
Original Features,Credit Score,Logistic Regression,0.5307271305707584,0.5338093131834342,0.44250396934502045,45,6395.0,5.0
Original Features,Credit Score,Random Forest,0.5372947615324473,0.5397742808861739,0.4542757221860702,45,6395.0,5.0
Original Features,Credit Score,Gradient Boosting,0.5832681782642689,0.5413566063064175,0.4352264790592055,45,6395.0,5.0
Original Features,Credit Score,k-Nearest Neighbors,0.5257232212666145,0.4974731176037074,0.3934311695106817,45,6395.0,5.0
VIF Selected Features,Credit Card,Logistic Regression,0.7296181630546955,0.7711292566468344,0.5396745499337899,42,1938.0,3.0
VIF Selected Features,Credit Card,Random Forest,0.8080495356037152,0.8064776412999163,0.5289873635332532,42,1938.0,3.0
VIF Selected Features,Credit Card,Gradient Boosting,0.8384932920536635,0.8130213506321735,0.5018129420512846,42,1938.0,3.0
VIF Selected Features,Credit Card,k-Nearest Neighbors,0.8224974200206399,0.7938914859945622,0.4626462805896588,42,1938.0,3.0
VIF Selected Features,Mortgage,Logistic Regression,0.6737588652482269,0.7353656853272337,0.45610132839048506,42,564.0,3.0
VIF Selected Features,Mortgage,Random Forest,0.875886524822695,0.8536625399882446,0.5328557222512643,42,564.0,3.0
VIF Selected Features,Mortgage,Gradient Boosting,0.8581560283687943,0.8383842801415127,0.4908281167273973,42,564.0,3.0
VIF Selected Features,Mortgage,k-Nearest Neighbors,0.849290780141844,0.815740157829217,0.4432001257416795,42,564.0,3.0
VIF Selected Features,Auto Loan,Logistic Regression,0.8,0.8528271235188236,0.45431649340896646,42,1025.0,3.0
VIF Selected Features,Auto Loan,Random Forest,0.9336585365853659,0.9186445860323424,0.4478608709670919,42,1025.0,3.0
VIF Selected Features,Auto Loan,Gradient Boosting,0.9336585365853659,0.9179231196713136,0.4486335605322947,42,1025.0,3.0
VIF Selected Features,Auto Loan,k-Nearest Neighbors,0.9278048780487805,0.9090138127647953,0.4109767056058617,42,1025.0,3.0
VIF Selected Features,Credit Limit,Logistic Regression,0.5578947368421052,0.5794095766216502,0.453122133014938,42,665.0,3.0
VIF Selected Features,Credit Limit,Random Forest,0.6526315789473685,0.6220392550030124,0.44108013640988647,42,665.0,3.0
VIF Selected Features,Credit Limit,Gradient Boosting,0.6586466165413534,0.6224520432285141,0.4366191473006686,42,665.0,3.0
VIF Selected Features,Credit Limit,k-Nearest Neighbors,0.6135338345864662,0.5719391286351138,0.38509760679571997,42,665.0,3.0
VIF Selected Features,Credit Score,Logistic Regression,0.5301016419077405,0.5329349012830609,0.4413054211020587,42,6395.0,5.0
VIF Selected Features,Credit Score,Random Forest,0.5360437842064113,0.5397996633386523,0.4554460503742062,42,6395.0,5.0
VIF Selected Features,Credit Score,Gradient Boosting,0.5831118060985144,0.5389418433520188,0.42948239873850225,42,6395.0,5.0
VIF Selected Features,Credit Score,k-Nearest Neighbors,0.5252541047693511,0.49786201462113067,0.39454525633812965,42,6395.0,5.0
Optuna Tuned,Credit Card,Random Forest,0.8405572755417957,0.8191706809073631,0.5056143758641641,45,,
Optuna Tuned,Credit Card,XGBoost,0.8436532507739938,0.8159468857782155,0.4958551543075733,45,,
Optuna Tuned,Credit Score,Random Forest,0.5587177482408131,0.5549415796695479,0.4641842947378338,45,,
Optuna Tuned,Credit Score,XGBoost,0.5906176700547302,0.5493014671991325,0.4449528570952429,45,,
